Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
Oskar le coq,Angeli May,Thierry Magnier,Angeli,May
Otto,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Ottoki,Marais Frédéric,Les fourmis rouges,Marais,Frédéric
Où est le loup ?,Ramadier,Ecole des Loisirs,Ramadier,
Où est ma chaussure ?,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Où est Papa ?,Bisinski Pierrick,Gallimard jeunesse,Bisinski,Pierrick
Où est Petit Tigre ?,Ravishankar A,Syros,Ravishankar,A
Où est qui ?,Charlip Rémy,MeMo,Charlip,Rémy
"Où est Spot, mon petit chien ?",Hill Eric,Nathan,Hill,Eric
Où habite Mimi ?,Cousins Lucy,Albin Michel jeunesse,Cousins,Lucy
Où je l'ai mis ?,Charlat Benoît,Ecole des loisirs,Charlat,Benoît
Où li bou ni che ?,Corazza Linda,Rouergue,Corazza,Linda
Où qu'on va après ?,Dupuy Dunier Chantal,Le Farfadet bleu,Dupuy,Dunier Chantal
Où qu'on va après ?,Dupuy Dunier Chantal,Le Farfadet bleu,Dupuy,Dunier Chantal
Où va l'eau ?,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Où vont les heures de la nuit,Agopian Annie,Didier jeunesse,Agopian,Annie
Oubliés de l'étagère (les),Lévy Didier,Sarbacane,Lévy,Didier
Ouf !,Roman Ghislaine,Milan,Roman,Ghislaine
Ouin-ouin chagrin,Nicolas Christophe,Les fourmis rouges,Nicolas,Christophe
Oukélé la télé,Morgenstern Susie,Gallimard jeunesse,Morgenstern,Susie
Oulala !,Jalibert Maria,Points de suspension,Jalibert,Maria
"Oulàlà, c'est haut !",Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Ouragan (l'),Bougeault Pascale,Ecole des loisirs,Bougeault,Pascale
Ours blanc a perdu sa culotte,Tupera Tupera,Albin Michel jeunesse,Tupera,
"Ours brun, dis-moi...",Martin Bill,Mijade,Martin,Bill
"Ours brun, ours brun, dis-moi ce que tu vois ?",Martin Bill,Mijade,Martin,Bill
Ours et la lune (l'),Alix Cécile,L'élan vert,Alix,Cécile
Ours et le chat sauvage (l'),Yumoto Kazumi,Ecole des Loisirs,Yumoto,Kazumi
Ours qui lit,Pintus Eric,Didier jeunesse,Pintus,Eric
Ours qui n'était pas là (l'),Lavie Oren,La joie de lire,Lavie,Oren
Ours vagabond (l'),Clément Claude,Flammarion,Clément,Claude
Ourse (l'),Alonso Jose Ramon,Didier jeunesse,Alonso,Jose Ramon
Ourson et la ville,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Ouste !,Grindley Sally,Ecole des loisirs,Grindley,Sally
Ouvre ce petit livre,Klausmeier Klaus,Ecole des Loisirs,Klausmeier,Klaus
Ouvre l'œil !,Di Giovanni Evans Brooke,Vigot,Di,Giovanni Evans Brooke
Oxiseau,Pittau Francesco,Les Grandes Personnes,Pittau,Francesco
Pablo,Rascal,Ecole des loisirs,Rascal,
Pablo de La Courneuve,Roumiguière Cécile,Seuil jeunesse,Roumiguière,Cécile
"Pablo, enfant du Guatemala",Collectif,Tapori,Collectif,
Pacha qui s'ennuyait (le),Bouchard André,Seuil,Bouchard,André
"Pain, beurre et chocolat",Serres Alain,Rue du Monde,Serres,Alain
Paloma et le vaste monde,Ovaldé Véronique,Actes Sud junior,Ovaldé,Véronique
Palomino,Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Panique à Paris,Joly Fanny,Sarbacane,Joly,Fanny
Panique au village des crottes de nez !,Mrzyk et Moriceau,Les fourmis rouges,Mrzyk,et Moriceau
Panique dans la mythologie,Clavel Fabien,Rageot,Clavel,Fabien
Papa !,Corentin Philippe,Ecole des loisirs,Corentin,Philippe
Papa à grands pas,Brun Cosme Nadine,Nathan,Brun,Cosme Nadine
Papa et maman m'ont dit,Le Saux Alain,Rivages,Le,Saux Alain
Papa exagère,Allancé Mireille d',Ecole des loisirs,Allancé,Mireille d'
Papa Loup,Texier Ophélie,Ecole des Loisirs,Texier,Ophélie
Papa maman bébé,Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Papa n'a pas le temps,Corentin Philippe,Rivages,Corentin,Philippe
Papa qui avait dix enfants (le),Guettier Bénédicte,Casterman,Guettier,Bénédicte
Papaski,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Parapluie de Madame Hô (Le),Lestrade Agnès de,Milan Jeunesse,Lestrade,Agnès de
Parcours de Paulo le petit spermatozoïde (le),Allen Nicholas,Ecole des Loisirs,Allen,Nicholas
Parfois,Touzeil Jean Claude,L'idée bleue,Touzeil,Jean Claude
Parfois je me sens…,Browne Anthony,Ecole des Loisirs,Browne,Anthony
"Parfois, j'ai envie…",Van Hout Mies,Minedition,Van,Hout Mies
Paris en pyjamarama,Leblond Michaël,Rouergue,Leblond,Michaël
"Parle-moi, petit chat !",Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
Paroles de résistances,Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
Parti,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Partir,Salinas Veronica,Rue du monde,Salinas,Veronica
Pas,Morgenstern Susie,Rouergue,Morgenstern,Susie
Pas de baiser pour Maman,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Pas de loup,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Pas de whisky pour Méphisto,Thiès Paul,Syros Jeunesse,Thiès,Paul
Pas le temps,Crausaz Anne,MeMo,Crausaz,Anne
Pas question !,Jadoul Emile,Ecole des loisirs,Jadoul,Emile
"Pas si bêtes, les animaux",Guillevic,Seghers,Guillevic,
Passages,Aribaud Jean Luc,Zorba,Aribaud,Jean Luc
Passion et Patience,Courgeon Rémi,Milan,Courgeon,Rémi
"Patachon, le mille-pattes désordonné",Lilienthal Henri,Catalpas,Lilienthal,Henri
Patate,Louchard Antonin,Seuil jeunesse,Louchard,Antonin
Patates,Le Néouanic Lionel,Seuil jeunesse,Le,Néouanic Lionel
Patatras,Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
Patience mon ange,Helft Claude,Didier jeunesse,Helft,Claude
Patron et employé,Rodari Gianni,Didier jeunesse,Rodari,Gianni
Paul Fort (le),Fort Paul,Mango,Fort,Paul
Pauvre Verdurette,Boujon Claude,Ecole des Loisirs,Boujon,Claude
Pauvreté à l'œuvre (la),Collectif,Cahiers du CRILJ n° 10,Collectif,
Pawana,Le Clézio JMG,Gallimard Jeunesse,Le,Clézio JMG
Paysajeux,Galeron Henri,Les Grandes personnes,Galeron,Henri
Pêche à la baleine (la),Prévert Jacques,Gallimard,Prévert,Jacques
Pêche à la marmite (la),Mwankumi Dominique,Ecole des Loisirs,Mwankumi,Dominique
Pêche à la sirène (la),Elzbieta,Ecole des Loisirs,Elzbieta,
Peintre et les cygnes sauvages (le),Clément Claude,Casterman,Clément,Claude
Peintures pressées,Friot Bernard,Milan jeunesse,Friot,Bernard
Pélagie la sorcière,Thomas Valérie,Milan,Thomas,Valérie
Pélican (le),Desnos Robert,Rue du monde,Desnos,Robert
Pendant que le loup n'y est pas,Battut Eric,Didier jeunesse,Battut,Eric
Pénélope et la poule de Pâques,Ben Kemoun Hubert,Flammarion,Ben,Kemoun Hubert
Perceval ou le Conte du Graal,Cadot Colin Anne-Marie,Hachette jeunesse,Cadot,Colin Anne-Marie
Perdrix (les),Heitz Bruno,Le Genevrier,Heitz,Bruno
Père Noël (Histoires à raconter…),Collectif,Milan Jeunesse,Collectif,
Père Noël et les fourmis (le),Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
"Père Noël, es-tu là ?",Ninie,Milan jeunesse,Ninie,
Père Tire-Bras,Chabas Jean-François,Thierry Magnier,Chabas,Jean-François
Péric et Pac,Dalrymple Jennifer,Ecole des loisirs,Dalrymple,Jennifer
Périgord noir,Sanders Louis,Thierry Magnier,Sanders,Louis
"Perruche, l'iroko et le chasseur (la)",Loucou Michel,Ruisseaux d'Afrique,Loucou,Michel
Persée et Méduse,Palluy Christine,Milan jeunesse,Palluy,Christine
Pestacle (le),Green Ilya,Didier jeunesse,Green,Ilya
Pestoune des Pyrénées,Dubois CK,Ecole des Loisirs,Dubois,CK
"Peter, le chat debout",Robert Nadine,Little Urban,Robert,Nadine
Petit à petit,Vast Emilie,MeMo,Vast,Emilie
Petit Aigle,Chen Jiang Hong,Ecole des loisirs,Chen,Jiang Hong
Petit amour,Poirot-Cherif Sandra,Didier jeunesse,Poirot-Cherif,Sandra
Petit ange,Fastier Yann,Atelier du poisson soluble,Fastier,Yann
Petit arbre qui chantait (le),Brun Cosme Nadine,Nathan jeunesse,Brun,Cosme Nadine
Petit bleu et Petit jaune,Lionni Leo,Ecole des loisirs,Lionni,Leo
Petit bonheur,Norac Carl,Bilboquet,Norac,Carl
Petit bout de bois,Heitz Bruno,Thierry Magnier,Heitz,Bruno
Petit Caillou,Battut Eric,Gautier-Languereau,Battut,Eric
Petit Cépou (le),Matéo Pepito,Mini Syros,Matéo,Pepito
Petit chacal et le crocodile (le),Cone Bryant Sara,Nathan,Cone,Bryant Sara
Petit chaperon chinois (le),Sellier Marie,Picquier jeunesse,Sellier,Marie
Petit chaperon rouge (le),Perrault Charles,Milan,Perrault,Charles
Petit Chaperon rouge a des soucis (le),Monsabert A.-Sophie de,Albin Michel jeunesse,Monsabert,A.-Sophie de
Petit cheval (le),Fournier,Flammarion,Fournier,
Petit Chien,Brouillard Anne,Seuil jeunesse,Brouillard,Anne
Petit curieux (le),Manceau Edouard,Milan,Manceau,Edouard
Petit déjeuner de la famille souris (le),Iwamura Kazuo,Ecole des Loisirs,Iwamura,Kazuo
Petit Dino veut tout faire tout seul,Climo Liz,Milan,Climo,Liz
Petit éléphant a un ami,Ashbé Jeanne,Ecole des loisirs,Ashbé,Jeanne
Petit fiston,Elzbieta,Rouergue,Elzbieta,
Petit frère (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
"Petit frère, petite sœur, mode d'emploi",Escoffier Michaël,Frimousse,Escoffier,Michaël
Petit garçon qui avait envie d'espace (le),Giono Jean,Gallimard,Giono,Jean
Petit grand Boubo,Alemagna Béatrice,La joie de lire,Alemagna,Béatrice
Petit Guili (le),Ramos Mario,Pastel,Ramos,Mario
Petit Hippopotamtam,Pinguilly Yves,Albin Michel jeunesse,Pinguilly,Yves
"Petit homme qui monte, qui monte...(le)",Hoestlandt Jo,Milan,Hoestlandt,Jo
Petit lapin de Noël (le),Lecaye Olga,Ecole des Loisirs,Lecaye,Olga
Petit Léonard de Vinci (le),Duve Catherine de,Kate'art,Duve,Catherine de
Petit Marcel Proust (le),Proust Marcel,Casterman,Proust,Marcel
Petit musée,Le Saux A. et Solotareff G.,Ecole des Loisirs,Le,Saux A. et Solotareff G.
Petit musée du bleu (le),Norac Carl,Rue du monde,Norac,Carl
Petit Napperon rouge (le),Hugo Hector,Mini Syros,Hugo,Hector
Petit nuage,Piquemal Michel,Casterman,Piquemal,Michel
Petit Om,Kamoun Martine,Soc et foc,Kamoun,Martine
Petit ou grand ?,Tullet Hervé,Bayard jeunesse,Tullet,Hervé
Petit ouistiti,Bourre Martine,Didier jeunesse,Bourre,Martine
Petit pêcheur et le squelette (le),Chen Jiang Hong,Ecole des loisirs,Chen,Jiang Hong
Petit point,Macri Giancarlo,Nuinui,Macri,Giancarlo
Petit poisson blanc,Van Genechten Guido,Mijade,Van,Genechten Guido
Petit poisson blanc devient grand,Van Genechten Guido,Mijade,Van,Genechten Guido
Petit poisson de rien du tout,Duquennoy Jacques,Albin Michel,Duquennoy,Jacques
Petit Poucet (le),Falorsi Ilaria,Milan,Falorsi,Ilaria
Petit Poucet (le),Perrault Charles,Flammarion,Perrault,Charles
Petit prince (le),Saint-Exupéry Antoine de,,Saint-Exupéry,Antoine de
Petit Questionneur (le),Verluca Constance,Ecole des loisirs,Verluca,Constance
Petit roi des fleurs (le),Pacovska Kveta,Minedition,Pacovska,Kveta
Petit sanglier apprivoisé,Piquemal Michel,Hatier poche,Piquemal,Michel
Petit singe (le),Montardre Hélène,Mango,Montardre,Hélène
Petit soleil,Mirman Anne,Milan Jeunesse,Mirman,Anne
Petit sorcier de la pluie (le),Norac Carl,Ecole des Loisirs,Norac,Carl
Petit souci (le),Herbauts Anne,Casterman,Herbauts,Anne
Petit tigre (le),Montardre Hélène,Mango jeunesse,Montardre,Hélène
Petit trou dans une pomme (le),Collectif,Nathan,Collectif,
Petit voleur (le),Manceau Edouard,Milan jeunesse,Manceau,Edouard
Petit voleur (le),Manceau Edouard,Milan jeunesse,Manceau,Edouard
Petit-Bleu et Petit-Jaune,Lionni Leo,Ecole des Loisirs,Lionni,Leo
Petite anthologie de la science-fiction,Wintrebert Joëlle,SEDRAP,Wintrebert,Joëlle
Petite anthologie du policier,Allemand Sylvie,SEDRAP,Allemand,Sylvie
Petite Baleine,Weaver Jo,Ecole des Loisirs,Weaver,Jo
Petite Beauté,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Petite bête qui monte (la),Chausson Julia,Rue du monde,Chausson,Julia
Petite casserole d'Anatole (l'),Carrier Isabelle,Bilboquet,Carrier,Isabelle
Petite enfance et cultures en mouvement,Ben Soussan Patrick,ERES,Ben,Soussan Patrick
Petite fille du livre (la),Nadja,Ecole des Loisirs,Nadja,
Petite fille du port de Chine (la),Bertron Martin Agnès,Flammarion,Bertron,Martin Agnès
Petite fille et le loup,Grunelius-Hollard Agnès,Didier jeunesse,Grunelius-Hollard,Agnès
Petite fille et le loup,Grunelius Hollard,Didier Jeunesse,Grunelius,Hollard
Petite Fourmi,Bourre Martine,Didier jeunesse,Bourre,Martine
Petite Frida,Browne Anthony,Ecole des loisirs,Browne,Anthony
Petite grenouille qui avait mal... (la),Voutch,Circonflexe,Voutch,
Petite grenouille qui avait mal... (la),Voutch,Circonflexe,Voutch,
Petite lune,Elzbieta,Rouergue,Elzbieta,
"Petite main, petit pouce",Perrin Martine,Seuil jeunesse,Perrin,Martine
Petite maison de bois (la),Corr Christopher,Gallimard jeunesse,Corr,Christopher
Petite mare du grand crocodile (la),Buteau Gaëlle,Lito,Buteau,Gaëlle
Petite mauvaise humeur (la),Carrier Isabelle,Bilboquet,Carrier,Isabelle
Petite musique du Jour,Joubert Jean,Pluie d’étoiles,Joubert,Jean
Petite poule qui voulait voir la mer (la),Jolibois Christian,Pocket jeunesse,Jolibois,Christian
Petite poule qui voulait voir la mer (la),Jolibois Christian,Pockett junior,Jolibois,Christian
Petite poule rousse (la),Barton Byron,Ecole des loisirs,Barton,Byron
Petite poule rousse (la),Gourounas Jean,Atelier du poisson soluble,Gourounas,Jean
Petite poule rousse (la),Chèze Bernard,Seuil,Chèze,Bernard
Petite poule rousse (la),Delye Pierre,Didier jeunesse,Delye,Pierre
Petite poule rousse (la),Cone Bryant Sara,MeMo,Cone,Bryant Sara
Petite Poule Rousse et Ruse Renard Roux (la),Delye Pierre,Didier jeunesse,Delye,Pierre
Petite princesse nulle (la),Nadja,Ecole des loisirs,Nadja,
Petite Sirène (la),Andersen Hans Christian,Flammarion,Andersen,Hans Christian
Petite sœur,Moüy Iris de,Ecole des loisirs,Moüy,Iris de
"Petite souris, la fraise... (la)",Wood Don,Mijade,Wood,Don
Petite tache,Le Néouanic Lionel,Les Grandes Personnes,Le,Néouanic Lionel
Petite taupe qui n'osait pas sortir (la),Brun Cosme Nadine,Nathan,Brun,Cosme Nadine
"Petite truie, le vélo et la lune (la)",Dubé Pierrette,Les 400 coups,Dubé,Pierrette
Petites affaires de Marie-Louise (les),Vinet Sofie,Soc et foc,Vinet,Sofie
Petites comptines à mimer,Collectif,Nathan,Collectif,
Petites comptines des animaux,Aladjidi Virginie,Palette,Aladjidi,Virginie
Petites émotions (les),Montse Gisbert,Alice,Montse,Gisbert
Petites histoires pour les enfants qui…,Norac Carl,Sarbacane,Norac,Carl
Petites malices de Nasreddine (les),Darwiche Jihad,Albin Michel,Darwiche,Jihad
Petit-gris,Elzbieta,Ecole des Loisirs,Elzbieta,
Petit-Ours en visite,Holmelund Minarik Else,Ecole des Loisirs,Holmelund,Minarik Else
Petits bleus au cœur (les),Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Petits chaperons loups,Bruel Christian,Etre,Bruel,Christian
Petits haïkus des saisons,Malineau Jean Hugues,Ecole des Loisirs,Malineau,Jean Hugues
Petits malheurs (les),Dubois Jean-Claude,Cheyne,Dubois,Jean-Claude
Petits nuages (les),Manceau Edouard,Seuil jeunesse,Manceau,Edouard
Petits pains au nuage (les),Hee-na Baek,Didier jeunesse,Hee-na,Baek
Petits poèmes en rang par trois,Baron Marc,Bulles de savon,Baron,Marc
Petits points rouges,Altan,Ecole des Loisirs,Altan,
Petits poissons (les),Guettier Bénédicte,Ecole des Loisirs,Guettier,Bénédicte
Petits poissons dans l'eau (les),Destours Christine,Didier jeunesse,Destours,Christine
Petits poissons dans l'eau (les),Destours Christine,Didier jeunesse,Destours,Christine
Petits riens (les),Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Petits tigres,Weaver Jo,Ecole des Loisirs,Weaver,Jo
Pétronille et ses 120 petits,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Peur de rien,Claire Céline,Amaterra,Claire,Céline
Peut-être que le monde…,Serres Alain,Rue du monde,Serres,Alain
Pfff...,Dubois Claude K.,Ecole des loisirs,Dubois,Claude K.
"Phantoum, l'éléphanteau encombré de sa trompe",Lilienthal Henri,GAEL,Lilienthal,Henri
Philipok,Tolstoï Léon,Gautier-Languereau,Tolstoï,Léon
Philofables pour vivre ensemble,Piquemal Michel,Albin Michel,Piquemal,Michel
Photo qui tue (la),Horowitz Anthony,Hachette,Horowitz,Anthony
Piano des bois (le),Iwamura Kasuo,Ecole des loisirs,Iwamura,Kasuo
Picasso,Girardet et Merleau-Ponty,Réunion des musées nationaux,Girardet,et Merleau-Ponty
Picoti... tous partis ?,Rogier Françoise,A pas de loups,Rogier,Françoise
Pied à l'encrier (le),Collectif,CLAP Midi-Pyrénées,Collectif,
Pieds nus,Courgeon Rémi,Seuil jeunesse,Courgeon,Rémi
Pierre et la sorcière,Bizouerne Gilles,Didier jeunesse,Bizouerne,Gilles
Pierre n'a plus peur du noir,Pastoureau Michel,Privat,Pastoureau,Michel
Pierre qui roule n'amasse pas mahousse,Oppel Jean-Luc,Syros Jeunesse,Oppel,Jean-Luc
Pierrot le moineau,Krings Anton,Gallimard jeunesse,Krings,Anton
Pieuvre bricole (la),Bialestowski Gérard,Milan,Bialestowski,Gérard
Pilleurs de cèdres (les),Bayar Michèle,Magnard,Bayar,Michèle
Pilotin,Lionni Leo,Ecole des Loisirs,Lionni,Leo
Pince mi le petit crabe,Rocard Anne,Grasset Jeunesse,Rocard,Anne
Pinceau magique (le),Jay Françoise,Magnard jeunesse,Jay,Françoise
"Pincemi, Pincemoi et la sorcière",Bichonnier Henriette,Gallimard,Bichonnier,Henriette
Pingouin glacé,Kitzing Constanze,La joie de lire,Kitzing,Constanze
Pingouin qui avait froid (le),Giordano Philip,Milan,Giordano,Philip
Pique nique de la famille Souris (le),Iwamura Kazuo,Ecole des Loisirs,Iwamura,Kazuo
Pique nique des ours (le),Brisac Geneviève,Ecole des Loisirs,Brisac,Geneviève
"Pique, Gratte et Grogne",Backès Michel,Ecole des Loisirs,Backès,Michel
Pirate de cœur (le),Perez Sébastien,Albin Michel,Perez,Sébastien
Pirates des sept mers,Bathany Claude,Nathan,Bathany,Claude
Pirates en vue !,Pinto Deborah,Nathan,Pinto,Deborah
Pire anniversaire de ma vie (le),Chaud Benjamin,Helium,Chaud,Benjamin
Pire livre pour apprendre le dessin (le),Louchard Antonin,Seuil jeunesse,Louchard,Antonin
Pire livre pour apprendre le pot (le),Louchard Antonin,Seuil jeunesse,Louchard,Antonin
"Pirouette, cacahouette",Mollet Charlotte,Didier jeunesse,Mollet,Charlotte
Piscine (la),Poussier Audrey,Ecole des loisirs,Poussier,Audrey
Pistolet d'Odilon (le),Joly Fanny,Milan jeunesse,Joly,Fanny
Pitchou,Sara,Rue du monde,Sara,
Planète bizarre,Voutch,Thierry Magnier,Voutch,
Plein soleil,Guilloppé Antoine,Gautier-Languereau,Guilloppé,Antoine
Pleine lune,Guilloppé Antoine,Gautier-Languereau,Guilloppé,Antoine
Pleine mer,Guilloppé Antoine,Gautier-Languereau,Guilloppé,Antoine
Pleine nuit,Henderson Kathy,Flammarion,Henderson,Kathy
Plic ploc banquise,Garralon Claire,MeMo,Garralon,Claire
Plouf !,Corentin Philippe,Ecole des loisirs,Corentin,Philippe
Plume,Simler Isabelle,Courtes et longues,Simler,Isabelle
Plus affreuse des sorcières (la),Hirsching Nicolas de,Rageot,Hirsching,Nicolas de
Plus beau des cadeaux (le),Le Néouanic Lionel,Les grandes personnes,Le,Néouanic Lionel
Plus beau des trésors (le),Giraud Robert,Flammarion,Giraud,Robert
Plus beaux contes de conteurs (les),Collectif,Syros Jeunesse,Collectif,
Plus beaux contes de Toboggan (les),Collectif,Milan Jeunesse,Collectif,
Plus belle crotte du monde (la),Pavlenko Marie,Little Urban,Pavlenko,Marie
Plus belle maman du monde (la),Barcilon Marianne,Ecole des Loisirs,Barcilon,Marianne
Plus grand détective du monde (le),Moka,Milan,Moka,
Plus gros cadeau du monde (le),Monfreid Dorothée de,Ecole des loisirs,Monfreid,Dorothée de
Poches pleines de mots (les),Bergèse Paul,Soc et foc,Bergèse,Paul
Podlapin,Jalbert Philippe,Thierry Magnier,Jalbert,Philippe
Poèmes,Desnos Robert,Bayard jeunesse,Desnos,Robert
Poèmes,Queneau Raymond,Bayard,Queneau,Raymond
Poèmes,Roy Claude,Bayard jeunesse,Roy,Claude
Poèmes à poils et à plumes,Piquemal Michel,Pluie d'étoiles,Piquemal,Michel
Poèmes à rire et à jouer,Brami Elisabeth,Seuil,Brami,Elisabeth
Poèmes ont des oreilles (les),Henry Jean-Marie,Rue du monde,Henry,Jean-Marie
Poèmes pour affronter le beau temps,Soletti Pierre,Le port a jauni,Soletti,Pierre
Poèmes pour grandir,Siméon Jean Pierre,Cheyne,Siméon,Jean Pierre
Poèmes sans queue ni tête,Lear Edward,MØtus,Lear,Edward
Poèmes sur un fil,Hérédia Géraldine,Le port a jauni,Hérédia,Géraldine
Poésie (la),Collectif,Cahiers du CRILJ n°8,Collectif,
Poésie africaine (la),Magnier Bernard,Mango,Magnier,Bernard
Poésie algérienne (la),Collectif,Mango,Collectif,
Poésie arabo-andalouse,Mardam-Bey Farouk,Michalon,Mardam-Bey,Farouk
Poésie entrée libre,Sellier Marie,Nathan,Sellier,Marie
Poésie et humour,Collectif,PEMF ados,Collectif,
"Poils, plumes et mots",Arraga de Malherbe Virginia,Amaterra,Arraga,de Malherbe Virginia
Poisson bleu de Monsieur Chagall… (le),Lévêque Valérie,Réunion des musées nationaux,Lévêque,Valérie
Poisson chat,Dedieu Thierry,Seuil jeunesse,Dedieu,Thierry
Poisson et chat,Grant Joan,Rue du monde,Grant,Joan
Poka et Mine. Les nouvelles ailes,Crowther Kitty,Ecole des loisirs,Crowther,Kitty
Poly la futée et cet imbécile de loup,Storr Catherine,Kid Pocket,Storr,Catherine
Pomelo et l'incroyable trésor,Badescu Ramona,Albin Michel,Badescu,Ramona
Pomelo grandit,Badescu Ramona,Albin Michel jeunesse,Badescu,Ramona
Pomelo se demande,Badescu Ramona,Albin Michel,Badescu,Ramona
